sightingID,city,state,country,durationSec,ufoShape
158,savannah,tn,USA,600,light
159,waynesboro,va,USA,600,triangle
160,unsure,ar,USA,2,fireball
161,bray,ok,USA,360,other
162,"plymouth (devonshire) (uk/england)",n/a,UK,120,formation
163,waycross,ga,USA,120,light
164,wolfforth,tx,USA,300,disk
165,lyndhurst,oh,USA,300,unknown
166,lebanon,or,USA,14400,light
167,stockbridge,ga,USA,3600,changing
168,denver,co,USA,2700,changing
169,jacksonville,fl,USA,30,sphere
170,indio,ca,USA,600,oval
171,owego,ny,USA,10800,triangle
172,downingtown,pa,USA,120,circle
173,austin,tx,USA,3,flash
174,"starrsville (covington)",ga,USA,60,sphere
175,"west palm beach florida",fl,USA,180,fireball
176,conyers,ga,USA,3600,unknown
177,"vero beach",fl,USA,30,unknown
178,"jensen beach",fl,USA,120,oval
179,houston,tx,USA,35,formation
180,duluth,mn,USA,600,light
181,fleming,co,USA,600,circle
182,"grove city",pa,USA,3600,unknown
183,"van alstyne",tx,USA,4,other
184,northglenn,co,USA,15,triangle
185,"stord (norway)",n/a,Other,600,light
186,"london (canada)",Ontario,Canada,120,other
187,"north branch",mn,USA,300,light
188,slingerlands,ny,USA,240,circle
189,carlin,nv,USA,600,disk
190,evansville,in,USA,600,formation
191,albany,ny,USA,45,oval
192,fremont,ca,USA,60,triangle
193,yuma,az,USA,900,triangle
194,"south bend",in,USA,600,light
195,"la crescent",mn,USA,10,formation
196,"moon township",pa,USA,120,unknown
197,philadelphia,pa,USA,60,oval
198,seattle,wa,USA,180,light
199,pueblo,co,USA,300,light
200,cincinnati,oh,USA,900,oval
201,"san diego",ca,USA,30,disk
202,madison,wi,USA,20,circle
203,coldwater,oh,USA,60,sphere
204,"crested butte",co,USA,60,egg
205,tulsa,ok,USA,6,unknown
206,eagar,az,USA,180,unknown
207,suffolk,va,USA,900,unknown
208,anaheim,ca,USA,300,light
209,wilmington,nc,USA,600,light
210,leesburg,va,USA,300,disk
211,"michigan city",in,USA,900,changing
212,cupertino,ca,USA,180,light
213,"orchard park",ny,USA,7200,light
214,harrisburg,pa,USA,240,circle
215,euclid,oh,USA,180,circle
216,starr,sc,USA,600,formation
217,greenwich,ct,USA,240,light
218,"north charleston",sc,USA,180,light
219,"san francisco airport",ca,USA,300,triangle
220,springfield,va,USA,15,cigar
221,bridgeport,ct,USA,600,light
222,clackamas,or,USA,120,triangle
223,"san angelo",tx,USA,60,oval
224,windsor,ct,USA,5,fireball
225,sterling,il,USA,600,cylinder
226,everett,wa,USA,30,other
227,kykotsmovi,az,USA,7200,disk
228,albany,ny,USA,10,circle
229,"garden grove",ca,USA,7200,egg
230,miami,fl,USA,1200,changing
231,troy,ny,USA,7200,triangle
232,farmington,nm,USA,300,circle
233,"prescott valley",az,USA,300,other
234,ashville,ny,USA,60,circle
235,"epsom (surrey) (uk/england)",n/a,UK,300,oval
236,"north kingstown",ri,USA,40,oval
237,groton,ct,USA,5,disk
238,peabody-saugus,ma,USA,2700,flash
239,mechanicsville,va,USA,300,light
240,murfeesboro/smyrna,tn,USA,2700,unknown
241,"hamilton (canada)",Ontario,Canada,4,flash
242,middletown,ct,USA,1200,fireball
243,lakewood,oh,USA,60,fireball
244,york,pa,USA,15,circle
245,"north platte",ne,USA,3,circle
246,waynesville,oh,USA,90,triangle
247,bridgeport,ct,USA,630,circle
248,"san francisco airport",ca,USA,300,triangle
249,"san diego",ca,USA,240,sphere
250,"sterling heights",mi,USA,120,oval
251,syracuse,ny,USA,900,light
252,syracuse,ny,USA,240,circle
253,"colorado springs",co,USA,20,light
254,moundville,al,USA,240,changing
255,"new york city (bronx)",ny,USA,1800,disk
256,"mount albert (canada)",Ontario,Canada,30,triangle
257,"las cruces",nm,USA,120,fireball
258,marion,il,USA,240,light
259,"san jose",ca,USA,6,other
260,phoenix,az,USA,300,sphere
261,yakima,wa,USA,240,light
262,austin,tx,USA,1200,changing
263,"bean station",tn,USA,180,cigar
264,rochester,wa,USA,600,light
265,suffern,ny,USA,20,cylinder
266,"rancho mirage",ca,USA,5,rectangle
267,clifton,nj,USA,60,light
268,"palm harbor",fl,USA,5,chevron
269,aurburn,ky,USA,600,triangle
270,"st. louis county",mo,USA,10800,light
271,"ottawa (canada)",Ontario,Canada,10,light
272,rittman,oh,USA,60,light
273,"harvey station (canada)","New Brunswick",Canada,120,light
274,"essex junction",vt,USA,120,light
275,kenner,la,USA,600,circle
276,drexel,oh,USA,300,circle
277,hudson,nh,USA,5,light
278,"grand blanc",mi,USA,1200,light
279,savage,mn,USA,60,circle
280,warren,mi,USA,45,sphere
